,overall
99040,72
583,77
114607,79
115365,76
106084,65
130428,56
27388,57
46360,78
18583,70
736,76
124859,64
65432,73
121894,67
80160,76
85901,68
31263,75
1508,73
78726,50
59137,60
74086,63
73014,64
98594,73
69344,68
94830,56
30549,76
68297,69
71748,65
35708,68
43486,58
9778,61
118306,71
11404,59
130501,56
5897,65
98269,74
46617,77
40923,62
1962,72
63513,77
13669,54
11753,58
42612,59
70472,66
36283,67
78513,52
111462,58
99103,72
62297,50
121245,67
33402,71
68608,68
12540,57
27958,56
104864,66
94008,58
41991,61
53716,66
5077,66
118953,70
104766,66
74042,63
71480,65
101737,69
98322,74
36472,67
19939,68
10978,59
103608,67
9169,62
21031,67
120739,68
108909,62
30260,78
86471,67
70802,66
45040,52
29980,79
119442,69
115137,77
88363,65
43831,57
97886,75
125299,64
5993,65
18197,71
69476,67
90648,63
50531,70
87388,66
81288,74
114796,78
66989,70
21068,67
58383,61
65673,72
49585,71
81127,74
68527,68
128015,61
44306,55
13520,54
54279,66
113396,53
60453,58
70223,67
16934,73
127929,61
51427,69
117949,71
1889,72
19142,69
67329,70
77946,54
15338,80
1284,74
109695,61
107582,63
30889,76
65301,73
24650,62
116496,73
29660,81
12316,57
28635,54
95428,53
31299,75
129404,59
21760,66
94927,55
19850,68
2100,72
39390,64
40971,62
103714,67
33348,71
113901,50
89672,64
97293,76
1103,74
122541,66
115268,76
118023,71
85990,68
19558,69
13195,55
78344,53
120688,68
9843,61
53430,67
73285,63
106553,64
127093,62
35045,69
49181,72
1820,72
99415,72
102315,68
88532,65
86460,67
34150,70
76882,58
4453,67
19650,68
83456,70
47703,74
76537,59
65769,72
113212,53
13116,55
101487,69
3886,68
20825,67
68830,68
11345,59
85317,68
98953,73
16015,76
54067,66
116112,74
55963,64
20790,67
115404,76
7736,63
64500,74
104188,66
24572,62
91982,61
55306,65
2803,70
86576,67
6162,65
87242,66
116690,73
22613,65
119822,69
97178,77
104211,66
73440,63
93356,59
52993,67
14814,49
69551,67
89763,64
104369,66
53582,66
4427,67
87961,66
70452,66
31904,73
125263,64
54689,65
80567,75
23420,64
94092,58
17184,73
36449,67
116787,73
79074,83
85973,68
15519,79
78138,54
50320,70
103141,67
46281,79
28555,54
67602,70
37665,66
70641,66
70313,67
128736,60
131639,52
113651,51
42516,60
11142,59
26202,60
113366,53
49589,71
17871,71
82591,72
32958,72
12208,57
41317,62
130346,57
82939,71
83191,71
68211,69
53141,67
106920,64
103787,67
36206,67
106279,64
13070,56
4570,67
123469,65
74163,62
122594,66
102594,68
32684,72
30636,76
23639,64
85621,68
12446,57
36324,67
25510,61
109097,62
64482,74
28050,56
23418,64
68884,68
16678,74
100853,70
31084,75
87318,66
80433,75
22676,65
123945,65
33172,71
20304,68
50285,70
24798,62
83795,70
26067,60
108436,62
9399,61
79959,77
66597,71
33160,71
71311,66
2390,71
25934,60
48810,72
60784,57
117461,72
120318,68
129232,59
91557,62
114557,80
37232,66
108906,62
72221,65
108682,62
52096,68
126502,63
3719,68
115223,76
12766,56
110967,59
43252,58
81961,73
60411,58
86006,68
124740,64
22194,65
58235,62
70683,66
107757,63
47670,74
49913,71
42966,59
128902,60
79913,77
74014,63
44687,54
122087,67
122515,66
43579,57
80379,76
48978,72
116750,73
27603,57
119569,69
99626,72
102214,68
81322,74
101965,69
130100,57
60123,58
50545,70
56081,64
105918,65
2889,70
51958,68
97017,77
2817,70
99619,72
95710,52
102706,68
96275,83
12500,57
90298,63
122392,66
65217,73
126995,62
40492,63
55757,64
82800,71
108833,62
10931,59
53601,66
37219,66
43790,57
56806,63
33739,70
41262,62
111694,58
82101,72
17478,72
103482,67
62674,82
36377,67
98863,73
56808,63
111487,58
102464,68
82132,72
95087,55
38309,65
71728,65
94786,56
69877,67
69876,67
111777,58
7413,64
105128,65
132129,47
87232,66
76986,58
84417,69
50954,69
118009,71
100930,70
126902,62
97639,75
68985,68
12508,57
121984,67
74512,62
31351,74
63353,77
16316,75
52220,68
29132,51
93807,58
116054,74
78356,53
29489,84
107614,63
32953,72
72952,64
58164,62
96959,78
106083,65
35382,68
23962,63
107856,63
54663,65
75406,61
13640,54
118549,70
131108,54
75742,60
106515,64
59540,59
84143,70
123462,65
47884,74
88247,65
66089,72
16952,73
111101,59
110835,59
69408,67
39163,64
86438,67
64927,73
69137,68
14361,51
30933,75
95882,51
67613,70
89425,64
43787,57
99613,72
21848,66
89173,64
3996,68
38328,65
78406,52
21537,66
40794,62
22642,65
87871,66
88185,65
28330,55
116262,74
68693,68
24116,63
16288,75
14376,51
18720,70
74761,62
79799,78
62686,82
12485,57
24219,63
20142,68
68050,69
80866,75
82600,72
11756,58
99564,72
35625,68
3247,69
115741,75
26758,59
130670,56
91747,62
48838,72
64918,73
119730,69
129857,58
100211,71
41280,62
94443,57
131288,54
112984,54
84568,69
99190,72
53932,66
109727,61
67042,70
128606,60
30031,79
78833,49
5264,66
122124,66
537,77
128690,60
119944,69
83641,70
120527,68
71476,65
99392,72
63511,77
11414,59
2645,70
110237,60
3013,70
34192,70
33376,71
43277,58
94135,58
26990,58
72482,64
86514,67
9880,61
109179,62
92456,61
31117,75
94166,58
89940,64
84045,70
94174,58
7201,64
22530,65
106161,65
103903,67
50079,70
1467,73
61943,52
97508,76
33795,70
31694,74
854,75
102546,68
67116,70
108527,62
131002,55
28873,52
12841,56
95727,52
97767,75
54627,65
19466,69
83212,71
92568,60
7707,63
111617,58
76570,59
125363,64
106220,65
28156,55
70943,66
102804,68
59878,59
79977,77
115792,75
41248,62
6957,64
54443,66
131372,53
14876,48
122159,66
83819,70
40770,62
107188,64
14576,50
98548,73
128288,60
101758,69
42210,60
64159,75
17202,73
30906,76
121003,67
1184,74
96962,78
87213,66
25685,61
56752,63
64670,74
80050,77
91145,62
114272,82
24869,62
68207,69
18610,70
124686,64
13795,54
55331,65
32105,73
66403,71
116934,73
13506,54
48128,73
51773,68
70477,66
81451,73
120488,68
8472,62
75775,60
68066,69
57202,63
50562,70
16986,73
25100,62
12860,56
129242,59
41521,61
83656,70
121967,67
9317,61
38173,65
104889,66
125757,63
102592,68
84418,69
46497,78
66106,71
26890,59
42275,60
16849,74
11020,59
46759,77
119514,69
104205,66
36585,67
85302,68
103665,67
25151,62
41977,61
92441,61
128740,60
39763,64
43550,57
95261,54
101843,69
127182,62
84455,69
59671,59
126427,63
116339,74
33943,70
108350,62
95411,53
71733,65
58977,60
111496,58
30140,78
56773,63
7136,64
104961,66
119818,69
106527,64
115909,75
62844,80
2564,70
14811,49
15568,78
63471,77
91303,62
15866,77
14301,52
20856,67
4874,67
42109,60
48466,73
53006,67
69546,67
96802,78
64752,74
100726,70
25520,61
74343,62
40133,63
41555,61
130098,57
128640,60
6047,65
51842,68
79567,79
21350,66
85030,68
102841,68
123863,65
36106,68
106642,64
33862,70
15553,78
117209,72
100006,71
116999,72
37224,66
5686,66
16152,76
129791,58
74518,62
45710,84
58484,61
85353,68
50264,70
103934,67
33855,70
9962,61
131845,51
64214,75
101622,69
7294,64
56649,63
31964,73
62109,51
65720,72
84363,69
28174,55
127078,62
8915,62
122131,66
48219,73
471,78
43852,57
23159,64
61240,55
31331,75
94941,55
83554,70
49879,71
67386,70
70279,67
19634,68
32474,72
6825,64
78592,51
84923,69
89826,64
3104,69
17758,72
124701,64
27898,56
74171,62
90957,63
90795,63
115030,77
69695,67
110696,60
47233,75
55806,64
28205,55
69284,68
58658,61
87276,66
29985,79
46429,78
111448,58
44634,54
73868,63
108178,63
35157,69
5398,66
46558,77
57309,63
22912,64
26339,60
100891,70
102065,69
130094,57
81623,73
76209,59
100713,70
111152,59
2934,70
7803,63
81280,74
60507,57
100419,70
99440,72
18536,70
117738,71
61319,55
74647,62
70965,66
61504,54
25563,61
28617,54
126218,63
40540,63
82062,72
79394,80
27339,58
120317,68
22133,65
31641,74
78140,54
101045,70
63688,76
129502,58
59403,60
103211,67
14124,52
126594,62
44851,53
20694,67
4361,67
108989,62
124258,65
51493,69
42536,60
103084,67
48548,73
92640,60
119926,69
96246,84
39640,64
131616,52
97608,75
48345,73
100407,70
74502,62
25524,61
50922,69
102197,68
58571,61
8025,63
110736,59
119787,69
71378,65
83812,70
64180,75
74616,62
52233,68
8152,63
129816,58
67652,70
78082,54
57404,63
99571,72
115712,75
59957,59
84914,69
70499,66
47823,74
17726,72
52642,67
68012,69
34539,69
120078,68
80356,76
115320,76
11822,58
30590,76
64453,74
98673,73
28073,56
71488,65
54644,65
79557,79
92561,61
32198,73
86061,67
33965,70
110442,60
76116,59
45280,51
91935,62
127800,61
121191,67
35179,69
59027,60
16522,75
87749,66
73436,63
18731,70
131153,54
50505,70
48627,72
26344,60
3360,69
125266,64
9781,61
80196,76
88812,65
42632,59
62508,85
67811,69
47726,74
112280,56
91041,63
118855,70
122649,66
56760,63
46394,78
1251,74
65232,73
102096,68
9879,61
77370,56
26119,60
82527,72
56229,64
105389,65
95844,51
1762,72
64630,74
65727,72
113186,54
10102,60
5956,65
104742,66
129008,59
4172,68
107629,63
34580,69
114706,79
87803,66
15255,81
24458,63
110005,60
118931,70
117687,71
44498,55
60844,56
88102,65
81947,73
12243,57
127746,61
18381,70
84751,69
116429,73
115829,75
72926,64
78552,52
37728,66
1774,72
26222,60
79695,78
53714,66
96926,78
13430,55
67737,69
64302,75
9360,61
5704,66
65652,72
54309,66
123071,66
114439,81
130709,56
44034,56
48119,73
52719,67
21744,66
92766,60
63795,76
33746,70
50045,70
55989,64
121039,67
106307,64
86910,67
96805,78
115201,76
3314,69
60361,58
24175,63
37616,66
49551,71
51862,68
12656,56
1983,72
114899,77
122533,66
98185,74
3905,68
54610,65
99799,71
111516,58
63491,77
2885,70
48991,72
53389,67
32189,73
61285,55
1879,72
39429,64
11550,58
75187,61
33919,70
94523,57
71751,65
70414,66
74178,62
87279,66
103798,67
64564,74
19590,69
5920,65
85984,68
111670,58
116221,74
14235,52
94202,58
14644,50
4252,68
16279,75
72228,65
38018,66
68578,68
32877,72
93781,58
74131,62
90673,63
93837,58
3655,68
79716,78
2734,70
124464,64
101375,69
110374,60
76821,58
31222,75
24981,62
115440,76
120367,68
75514,60
5338,66
104493,66
83858,70
62415,47
74277,62
130097,57
120877,68
74193,62
90177,64
118145,71
124036,65
16662,74
72825,64
84548,69
61643,54
10852,59
71111,66
43018,59
19392,69
93820,58
96864,78
80981,74
54500,66
112748,55
18697,70
93066,60
67358,70
34477,69
87028,66
12747,56
1047,75
55460,65
53510,67
31150,75
44431,55
32976,72
32724,72
102446,68
53368,67
7123,64
18474,70
23930,63
100071,71
29658,82
69031,68
7460,64
126703,62
47077,76
106505,64
31398,74
35029,69
58167,62
90545,63
123684,65
93376,59
24061,63
18134,71
108056,63
93030,60
128798,60
13689,54
92257,61
6327,65
15277,80
36087,68
13724,54
42187,60
23055,64
48668,72
12235,57
86685,67
123285,65
81945,73
117088,72
113109,54
97267,76
13381,55
22811,65
51400,69
18866,70
86616,67
62260,50
127137,62
61557,54
93130,60
100059,71
100280,71
100603,70
2894,70
45252,51
98981,73
91594,62
55225,65
32394,72
132097,48
91890,62
96302,83
7034,64
107545,63
104204,66
22455,65
7119,64
81325,74
130595,56
17175,73
105811,65
45452,50
38143,65
106665,64
123342,65
3268,69
106263,64
131425,53
31375,74
11744,58
19148,69
26770,59
6521,65
7615,63
99067,72
64513,74
100731,70
37868,66
102046,69
101629,69
58309,61
65672,72
98006,75
12017,58
82767,71
66321,71
24786,62
123722,65
5896,65
94543,57
109384,61
13801,53
46853,76
130450,56
36385,67
87536,66
117420,72
127076,62
99311,72
22114,65
85346,68
3723,68
123518,65
25920,60
38805,65
84431,69
17587,72
80870,75
129508,58
75333,61
11124,59
57027,63
12294,57
111150,59
101015,70
74940,61
114535,80
131903,51
21708,66
84006,70
75577,60
46728,77
72002,65
58976,60
92118,61
121421,67
53113,67
40237,63
73364,63
1530,73
36477,67
118816,70
3485,69
63210,78
66657,71
4926,67
96681,79
47364,75
123416,65
111475,58
93012,60
69771,67
123841,65
91064,63
65681,72
114496,80
103602,67
95489,53
18026,71
45590,45
87018,66
41988,61
89193,64
83010,71
101428,69
88857,65
50029,70
111437,58
24343,63
95504,53
10250,60
71172,66
119888,69
113340,53
101963,69
101526,69
91294,62
131560,53
74586,62
55190,65
69958,67
113687,51
94812,56
107234,64
23228,64
51280,69
83295,71
44020,56
84896,69
117909,71
109305,61
11383,59
66718,71
121808,67
55570,64
28423,54
52098,68
122869,66
116154,74
82924,71
85169,68
56029,64
72537,64
43863,57
55584,64
34364,70
61611,54
59680,59
109370,61
105443,65
89531,64
94967,55
95335,54
119369,69
109546,61
77516,56
4464,67
90783,63
30697,76
34116,70
15432,79
95548,53
9574,61
98073,74
70195,67
73802,63
81115,74
78770,50
63163,78
110154,60
12217,57
67536,70
10637,60
34708,69
32862,72
73951,63
8007,63
1922,72
7570,63
121532,67
118641,70
106630,64
92534,61
65456,73
7730,63
97564,75
2440,71
56117,64
33352,71
62867,80
95522,53
76230,59
117670,71
16875,74
52063,68
128906,60
89539,64
101571,69
97487,76
72393,64
46284,78
126573,62
78866,48
65528,72
4136,68
111913,57
74601,62
49430,71
53086,67
90085,64
7408,64
8704,62
70465,66
33011,71
109063,62
7087,64
124541,64
60170,58
41658,61
6380,65
65710,72
104407,66
42708,59
7129,64
96026,49
116279,74
35326,68
7095,64
96088,48
22190,65
106560,64
69142,68
123696,65
55618,64
24741,62
127672,61
129999,57
69564,67
998,75
28022,56
37540,66
92074,61
73212,64
78827,49
112936,55
24074,63
42993,59
2525,71
69636,67
17780,72
23489,64
88297,65
67859,69
14773,49
846,75
120856,68
3492,69
64201,75
34588,69
15131,82
16696,74
58218,62
64990,73
90870,63
99252,72
120792,68
65420,73
43983,56
44433,55
129450,59
28056,56
1835,72
25421,61
60842,56
68064,69
74378,62
124742,64
89031,65
90170,64
58082,62
118107,71
93491,59
121277,67
90650,63
1540,73
45791,83
126265,63
81626,73
89452,64
33958,70
10435,60
70311,67
119403,69
78547,52
103875,67
110168,60
70449,66
106888,64
67752,69
127935,61
101521,69
2224,71
48855,72
75117,61
92773,60
91048,63
22334,65
27317,58
90325,63
90003,64
74645,62
76035,60
41930,61
34586,69
108084,63
55286,65
115188,76
118354,70
116297,74
112637,55
111577,58
29005,52
11296,59
100111,71
44449,55
62191,51
100517,70
28391,55
9694,61
13624,54
103553,67
54447,66
25449,61
65904,72
42078,60
41979,61
65740,72
23039,64
79648,78
11755,58
39647,64
20108,68
93019,60
73508,63
31449,74
53294,67
51162,69
59363,60
68,83
113351,53
35903,68
101807,69
118081,71
56902,63
88264,65
115146,77
45510,49
48237,73
3605,68
100629,70
14501,51
23678,64
46262,79
57780,62
60996,56
125526,63
84265,69
79492,79
128331,60
128835,60
85585,68
24473,63
97772,75
35473,68
121723,67
3497,69
88020,66
93421,59
24516,63
93754,58
62981,79
12962,56
22326,65
130133,57
111549,58
5730,66
66419,71
71379,65
54149,66
22274,65
14852,48
53786,66
34934,69
20052,68
19199,69
30269,77
115084,77
14093,52
50156,70
90039,64
49615,71
18384,70
112056,57
86268,67
96578,80
11720,58
130040,57
47718,74
127846,61
85434,68
58320,61
131159,54
45034,52
6232,65
67685,69
105383,65
84060,70
13568,54
122130,66
29696,81
52940,67
61522,54
67458,70
7860,63
108507,62
131312,54
7728,63
97462,76
69402,67
75763,60
46816,76
52550,67
99478,72
49945,70
120959,68
25680,61
36543,67
98878,73
99045,72
39987,63
72511,64
19,86
48688,72
120194,68
88348,65
16858,74
90893,63
72199,65
64007,75
31429,74
117862,71
125341,64
53261,67
118696,70
13995,53
84784,69
93069,60
24254,63
85179,68
3875,68
29752,81
3925,68
89982,64
248,80
123793,65
13915,53
104095,66
93283,59
89805,64
100020,71
77723,55
120814,68
702,76
67124,70
126965,62
82917,71
49912,71
107109,64
129487,59
32324,73
45068,52
10019,60
88994,65
58193,62
50937,69
74466,62
882,75
2548,71
129618,58
61120,56
21369,66
53846,66
20770,67
47952,74
122622,66
94851,56
9114,62
81298,74
101631,69
53273,67
12169,57
18598,70
118800,70
56695,63
76289,59
50151,70
3535,69
117325,72
84540,69
40398,63
5321,66
33643,71
65705,72
82438,72
103045,67
85163,68
39392,64
121609,67
20346,68
23150,64
78601,51
7291,64
83163,71
6658,64
129418,59
76660,58
38687,65
54508,66
122079,67
106687,64
73917,63
100202,71
31897,73
71655,65
2065,72
19389,69
6244,65
101671,69
70149,67
109313,61
80577,75
45696,85
21984,66
83940,70
22413,65
42092,60
39370,64
53234,67
55362,65
107429,63
94620,56
15832,77
28806,53
2362,71
15363,80
26998,58
68771,68
96598,79
126019,63
17485,72
60725,57
130968,55
25860,60
91362,62
57425,63
2571,70
1286,74
38845,65
41308,62
107837,63
106611,64
97961,75
52404,68
84960,69
106010,65
57174,63
8643,62
17398,72
65863,72
13786,54
112230,57
106368,64
122006,67
95618,52
35025,69
588,77
111893,57
94227,57
25647,61
27099,58
100065,71
85318,68
66911,70
10795,60
115180,76
107604,63
92004,61
29975,79
89178,64
22905,64
7983,63
48236,73
110971,59
77002,57
12929,56
76744,58
131523,53
125449,64
14713,49
99183,72
129483,59
80349,76
1739,73
65167,73
67664,69
8261,63
1097,74
130453,56
125407,64
72894,64
270,80
89422,64
38696,65
95491,53
22954,64
19692,68
78768,50
76357,59
46323,78
28848,53
98179,74
119852,69
117331,72
2943,70
32668,72
25344,61
76016,60
120336,68
29378,45
90087,64
122599,66
45778,83
67676,69
54370,66
101146,70
114967,77
47400,75
105511,65
55837,64
3034,70
93522,59
58507,61
18851,70
81257,74
88430,65
31686,74
27822,56
39942,63
47223,75
11235,59
33503,71
83964,70
14781,49
25961,60
32809,72
13200,55
16110,76
108885,62
103408,67
85017,69
119327,69
80404,76
58631,61
104244,66
119119,70
47694,74
123305,65
46348,78
11880,58
26910,59
124415,64
112027,57
67453,70
91067,63
66610,71
91622,62
97971,75
68362,69
26360,60
121030,67
57073,63
57670,62
19479,69
1406,74
28343,55
67009,70
51514,69
46297,78
125313,64
39444,64
110034,60
64939,73
102062,69
9252,61
30485,77
6385,65
72081,65
117885,71
47819,74
18695,70
128264,60
95177,54
55387,65
25183,62
27545,57
22266,65
23007,64
8281,63
53435,67
33212,71
18080,71
15443,79
122164,66
76621,58
39718,64
122261,66
126651,62
29074,51
52926,67
68099,69
123963,65
105923,65
118167,71
107376,63
98374,74
20387,68
100813,70
1112,74
72283,64
56007,64
108356,62
128717,60
8182,63
127051,62
43822,57
64499,74
51024,69
3494,69
17787,72
10775,60
26989,58
39574,64
129043,59
13685,54
27507,57
100016,71
21377,66
84338,69
24305,63
128167,61
50125,70
117850,71
89997,64
56789,63
37246,66
86710,67
67981,69
76595,58
17986,71
11434,59
62929,80
77996,54
20229,68
24471,63
104505,66
16544,75
19971,68
65799,72
72692,64
58,84
70287,67
78137,54
129669,58
4038,68
73670,63
40951,62
131456,53
52681,67
30070,78
88073,66
104624,66
47009,76
12890,56
102348,68
53495,67
122609,66
46093,80
108594,62
16835,74
74341,62
27723,57
45112,52
51777,68
16871,74
27776,57
4918,67
130201,57
82798,71
33420,71
68819,68
41077,62
88343,65
29810,80
76803,58
28112,55
127504,62
108607,62
37205,66
37122,66
114400,81
78306,53
83058,71
78221,53
13955,53
97340,76
7579,63
101450,69
8881,62
15469,79
11176,59
89745,64
31088,75
60022,59
63000,79
115810,75
51742,68
127297,62
5138,66
2296,71
127163,62
11883,58
131545,53
49459,71
92247,61
13766,54
129562,58
90820,63
65583,72
83537,70
52091,68
124517,64
114684,79
5961,65
53589,66
74040,63
32014,73
94993,55
76432,59
83629,70
19383,69
430,78
16327,75
64512,74
74365,62
1949,72
5944,65
19721,68
41934,61
114767,78
120853,68
73775,63
100223,71
27163,58
94880,56
3847,68
74688,62
45774,83
118030,71
32740,72
23549,64
57315,63
96951,78
83279,71
120311,68
103752,67
71061,66
78429,52
13488,54
31609,74
41372,61
86726,67
52212,68
77612,56
106833,64
74941,61
87460,66
79240,81
98319,74
26400,60
76966,58
97066,77
83076,71
127827,61
120166,68
60692,57
27062,58
37285,66
118988,70
18521,70
61619,54
132136,47
75678,60
127218,62
1746,73
69801,67
8310,63
29199,50
4019,68
5245,66
98633,73
25660,61
123278,65
85489,68
119329,69
122528,66
124409,64
7075,64
120798,68
85763,68
81342,74
3635,68
42989,59
70018,67
120069,68
117669,71
131895,51
39083,64
123102,66
6767,64
86808,67
51284,69
7498,64
26571,59
52369,68
67704,69
34693,69
85603,68
115469,75
56945,63
119162,69
112099,57
89767,64
71666,65
93605,59
113632,52
43272,58
128459,60
87316,66
119660,69
18434,70
36024,68
103984,67
66620,71
55531,65
87665,66
6525,65
114470,80
94940,55
13251,55
67506,70
122955,66
74522,62
41127,62
92583,60
76879,58
99795,71
962,75
67672,69
28433,54
10341,60
59264,60
39262,64
97552,75
112269,56
37520,66
93333,59
32358,72
103874,67
78170,54
80730,75
59914,59
2488,71
14527,50
117217,72
48702,72
12666,56
55847,64
57518,62
55766,64
23672,64
64511,74
48852,72
10628,60
562,77
119395,69
44135,56
60191,58
90621,63
11271,59
55128,65
120441,68
131237,54
123796,65
51691,68
42865,59
96498,80
61653,54
72704,64
125359,64
23377,64
106841,64
98366,74
78516,52
32439,72
86880,67
98790,73
5911,65
44253,55
105410,65
2646,70
95846,51
2232,71
50842,69
65939,72
86734,67
123343,65
84218,69
21775,66
92232,61
13589,54
107787,63
54114,66
32945,72
15828,77
32828,72
56971,63
118667,70
102654,68
68518,68
58907,61
32262,73
83002,71
44730,54
22567,65
45902,82
37515,66
11809,58
108693,62
108821,62
114014,48
2584,70
115227,76
100611,70
83906,70
30779,76
22057,65
34484,69
39,85
75213,61
23618,64
23884,63
11970,58
93800,58
38691,65
8018,63
37489,66
119262,69
32552,72
1672,73
31771,74
61539,54
432,78
113657,51
101437,69
33946,70
59930,59
121905,67
57394,63
71761,65
74009,63
55852,64
79209,82
109054,62
91569,62
97060,77
69282,68
22728,65
678,76
53528,67
83369,70
81557,73
9723,61
50068,70
42267,60
82715,71
78652,51
77874,55
3673,68
110934,59
10832,59
32882,72
121682,67
101773,69
15773,77
49051,72
111395,58
49466,71
54855,65
96253,83
5742,66
129640,58
33198,71
28491,54
55174,65
52869,67
119954,69
8580,62
28388,55
24704,62
46860,76
85738,68
75216,61
13585,54
130660,56
68742,68
22203,65
117450,72
14629,50
34050,70
114775,78
68749,68
57149,63
43825,57
59178,60
48664,72
82137,72
52328,68
110848,59
33392,71
125872,63
122766,66
44843,53
131660,52
66204,71
84722,69
792,76
15845,77
22894,64
11851,58
114057,47
99090,72
39031,64
56021,64
52932,67
34658,69
29474,85
39753,64
64095,75
119560,69
131375,53
9398,61
121498,67
116685,73
64458,74
73038,64
110308,60
120065,68
44323,55
96513,80
62805,81
93041,60
32689,72
50027,70
123008,66
31484,74
42192,60
54700,65
43226,58
129824,58
122841,66
65220,73
44531,55
10103,60
70294,67
132074,49
13106,55
126747,62
121296,67
20705,67
63609,76
93284,59
85032,68
67962,69
96839,78
9887,61
7205,64
41254,62
56439,64
36019,68
115020,77
29141,51
107152,64
95149,55
27143,58
35313,68
80982,74
42831,59
27947,56
10444,60
100303,71
25453,61
84050,70
2118,72
82650,72
23956,63
55475,65
21142,67
80105,76
110632,60
45151,52
131718,52
2970,70
1147,74
113438,52
99436,72
85935,68
48274,73
78920,90
58491,61
81737,73
63521,77
111320,58
47775,74
111289,58
77785,55
126756,62
113678,51
22074,65
16908,74
64579,74
89862,64
123921,65
31984,73
22102,65
41953,61
46027,80
126611,62
79518,79
98643,73
18585,70
74379,62
5677,66
46782,76
77793,55
116650,73
44617,54
121939,67
46005,80
57527,62
29003,52
92111,61
57787,62
75842,60
95032,55
25494,61
76754,58
130371,57
62895,80
78994,85
98446,74
72226,65
9836,61
102693,68
11996,58
40481,63
46148,79
61354,55
10416,60
129778,58
43564,57
51986,68
29393,44
22889,64
11590,58
82689,71
125767,63
47559,75
77173,57
57662,62
13713,54
74002,63
89915,64
24240,63
15565,78
43605,57
122488,66
112834,55
111177,59
22331,65
101227,69
31305,75
1004,75
95108,55
57580,62
5395,66
34530,69
32853,72
45604,90
36595,67
56388,64
20435,67
51359,69
27989,56
120955,68
89603,64
77218,57
56720,63
38801,65
63784,76
1438,73
94383,57
4620,67
27437,57
70855,66
2657,70
79369,80
62293,50
35223,69
3083,69
6235,65
71932,65
122680,66
96083,48
104285,66
40285,63
120053,68
113871,50
1157,74
100147,71
131376,53
102893,68
47125,75
18408,70
114079,89
53944,66
63806,76
127427,62
69354,68
130037,57
16880,74
16665,74
61921,52
54649,65
52785,67
43694,57
86577,67
51588,69
79707,78
128824,60
118195,71
68633,68
52103,68
72302,64
42399,60
125816,63
52240,68
78605,51
104731,66
24559,62
113736,51
29850,80
108747,62
68881,68
26941,58
91644,62
101667,69
6286,65
78270,53
25452,61
64016,75
65696,72
3876,68
104584,66
130141,57
98757,73
118712,70
295,79
82061,72
2272,71
63538,77
49416,71
82405,72
98041,75
85749,68
14022,53
109913,61
59988,59
119397,69
73694,63
62642,82
77301,57
55218,65
77279,57
114441,81
31205,75
58651,61
1190,74
71679,65
85900,68
35869,68
6975,64
63961,75
121908,67
2351,71
96776,78
38416,65
68220,69
96661,79
2112,72
30266,78
1046,75
18705,70
9649,61
53868,66
32614,72
29760,81
14051,53
13190,55
119353,69
10498,60
13087,55
72598,64
39459,64
54771,65
67271,70
34718,69
68090,69
81186,74
119107,70
28878,52
131880,51
6293,65
51393,69
70252,67
79825,78
18209,71
51366,69
15349,80
6129,65
2735,70
63079,79
99516,72
97483,76
61127,56
64299,75
116144,74
32702,72
20586,67
90028,64
50041,70
32165,73
91059,63
68049,69
62996,79
117102,72
19080,69
79901,77
109299,61
76604,58
37898,66
1155,74
73700,63
93666,59
48704,72
18247,71
130867,55
124815,64
121690,67
117167,72
77759,55
119493,69
118884,70
14741,49
107343,63
23770,63
106948,64
60285,58
10463,60
124837,64
57718,62
84998,69
37599,66
13951,53
79247,81
95732,52
37082,67
21387,66
127955,61
68713,68
9547,61
55459,65
104410,66
28341,55
2018,72
90221,64
112279,56
50975,69
69762,67
81283,74
131321,54
120293,68
15600,78
47807,74
131333,54
67817,69
102,82
87629,66
1165,74
113246,53
6871,64
16000,76
83956,70
43914,56
89266,64
58871,61
98786,73
43705,57
110433,60
38147,65
115418,76
10572,60
29945,79
40742,62
26769,59
64252,75
1444,73
63448,77
85890,68
67472,70
20164,68
95821,51
53656,66
108100,63
4299,67
8074,63
126567,62
126505,63
46072,80
95207,54
131628,52
48655,72
130524,56
10708,60
40246,63
102671,68
47635,74
21767,66
89529,64
23301,64
117837,71
121303,67
84906,69
44919,53
85437,68
38636,65
61086,56
8743,62
127562,61
37927,66
66735,71
98731,73
53794,66
128245,60
91227,62
84752,69
106078,65
55003,65
44896,53
116733,73
95901,50
97276,76
40949,62
8161,63
119279,69
5010,66
53118,67
110103,60
70992,66
53035,67
83758,70
84951,69
104110,66
125148,64
88596,65
90915,63
29682,81
50606,70
110384,60
25692,61
44312,55
97669,75
68183,69
15094,83
75,83
89170,64
35047,69
109827,61
66605,71
16833,74
60271,58
113157,54
37510,66
21499,66
20818,67
70874,66
126818,62
42661,59
35209,69
58381,61
41331,62
49177,72
29817,80
77014,57
61269,55
117680,71
92052,61
21144,67
20147,68
66231,71
57852,62
114365,81
15076,84
129186,59
16007,76
1569,73
121438,67
19376,69
95926,50
53787,66
127286,62
124616,64
9909,61
30371,77
51801,68
24126,63
120466,68
5587,66
19949,68
73275,63
77165,57
128453,60
12908,56
35907,68
111852,57
45605,90
82222,72
84955,69
52291,68
59809,59
51548,69
80863,75
14358,51
91377,62
118203,71
118731,70
126180,63
10810,60
106243,64
101278,69
47745,74
96765,78
81316,74
86329,67
70837,66
35629,68
66423,71
