,overall
3279,69
76812,58
13948,53
62353,49
37387,66
33844,70
28874,52
17852,71
62788,81
127279,62
17416,72
52150,68
24272,63
107885,63
81041,74
41867,61
74345,62
75655,60
24361,63
22560,65
73585,63
60562,57
39885,64
62966,79
9211,62
42637,59
23936,63
89874,64
53428,67
109275,61
73228,64
6032,65
27580,57
102090,68
126948,62
19084,69
60058,58
111607,58
130410,56
100327,71
96180,85
69701,67
110526,60
114907,77
91479,62
56047,64
34487,69
3481,69
78290,53
15781,77
45200,52
30572,76
13982,53
40996,62
110912,59
76394,59
60321,58
53220,67
130981,55
79362,80
112666,55
22755,65
89898,64
57531,62
122646,66
126484,63
65624,72
98562,73
28043,56
35631,68
44235,56
58011,62
113300,53
56553,63
44590,54
18349,70
52650,67
38398,65
87809,66
90439,63
29341,47
115321,76
129523,58
16921,73
94137,58
102157,68
80527,75
88477,65
88022,66
113717,51
90853,63
75254,61
129282,59
14609,50
117229,72
29693,81
115716,75
126704,62
99879,71
116918,73
126428,63
95000,55
100199,71
80022,77
78489,52
77532,56
78062,54
115903,75
86131,67
103479,67
110006,60
80245,76
29873,80
131973,50
90693,63
112883,55
40715,62
19983,68
47991,74
82661,72
48820,72
42371,60
38222,65
86829,67
112714,55
115677,75
19541,69
86293,67
20157,68
26237,60
127388,62
70062,67
50058,70
91369,62
104794,66
96531,80
132139,47
98012,75
47531,75
10959,59
127080,62
3375,69
26304,60
60434,58
99522,72
61723,53
100288,71
56885,63
131716,52
60743,57
121440,67
61343,55
50790,69
59107,60
66141,71
104789,66
79186,82
104421,66
59517,60
115551,75
83561,70
35119,69
58367,61
36171,67
84843,69
125642,63
93952,58
74159,62
8513,62
49562,71
24218,63
9243,62
121060,67
73879,63
66302,71
81925,73
6143,65
60100,58
33271,71
44721,54
49409,71
96989,77
28299,55
61997,52
70794,66
66841,71
41523,61
84774,69
42639,59
126886,62
3465,69
92211,61
28823,53
35617,68
50267,70
93556,59
6576,65
121795,67
10199,60
62395,48
2739,70
32281,73
51785,68
124479,64
73995,63
109774,61
73736,63
47590,75
3601,68
45471,49
1169,74
132024,49
60989,56
114092,88
25192,62
34739,69
103307,67
34352,70
81778,73
77051,57
61472,54
110387,60
60486,57
97384,76
68996,68
62654,82
81088,74
63301,78
46119,80
101635,69
81272,74
16185,75
76445,59
32325,73
124274,65
66318,71
112595,56
23253,64
18030,71
118977,70
110479,60
26054,60
96745,79
5207,66
83921,70
108818,62
26277,60
6061,65
48196,73
30409,77
110458,60
68696,68
122920,66
82693,71
124581,64
86104,67
87299,66
12755,56
112183,57
108688,62
105138,65
77919,55
63660,76
91911,62
118592,70
33463,71
6049,65
92018,61
121264,67
76184,59
9579,61
3313,69
63701,76
94832,56
122358,66
11437,59
39445,64
61733,53
106988,64
103261,67
105893,65
63952,75
40872,62
130256,57
63754,76
9777,61
120000,68
70024,67
1920,72
92606,60
108902,62
18599,70
95034,55
90727,63
116273,74
89601,64
2291,71
42317,60
26988,58
112361,56
109129,62
124719,64
3150,69
3594,68
1196,74
92692,60
16553,75
63860,76
42910,59
82551,72
27167,58
79434,80
1534,73
18375,70
54623,65
90339,63
60910,56
17336,72
50033,70
71830,65
60985,56
13382,55
53574,66
50628,70
35584,68
22685,65
64477,74
86883,67
57550,62
76003,60
44665,54
103963,67
77596,56
12574,57
19435,69
46784,76
27606,57
45409,50
110509,60
15764,77
93658,59
90528,63
100125,71
75482,60
48269,73
37165,66
41272,62
105787,65
20945,67
42303,60
112075,57
36412,67
53821,66
22518,65
9173,62
30039,79
100048,71
63911,75
100052,71
19869,68
30377,77
117412,72
77821,55
51846,68
47834,74
27001,58
62358,49
47497,75
26134,60
96778,78
83810,70
42395,60
113811,51
84182,69
103429,67
98436,74
81849,73
14477,51
15138,82
5214,66
129830,58
8097,63
93331,59
19509,69
47786,74
50516,70
82041,72
119495,69
107274,64
95026,55
38903,65
59376,60
13613,54
90367,63
118201,71
64362,74
1944,72
20008,68
39389,64
33454,71
118830,70
65449,73
46108,80
18878,70
7147,64
91400,62
83219,71
68698,68
107953,63
30314,77
126804,62
57487,62
15362,80
106958,64
45949,81
99430,72
28,86
126790,62
98501,73
107571,63
110184,60
97845,75
33374,71
56222,64
31463,74
64084,75
15180,81
127373,62
58748,61
57254,63
89864,64
89530,64
84582,69
58535,61
16044,76
108324,62
26680,59
52667,67
57173,63
6601,65
28252,55
68654,68
70930,66
121282,67
101195,69
42641,59
126953,62
113156,54
20724,67
32498,72
66273,71
93071,60
15031,86
44835,53
4914,67
102701,68
66895,70
53193,67
69635,67
83105,71
68621,68
115466,75
90922,63
32370,72
23372,64
115702,75
40604,63
59856,59
62188,51
126519,63
59755,59
126386,63
112878,55
373,79
60574,57
126671,62
51807,68
28383,55
14557,50
70929,66
3264,69
47100,76
80236,76
6159,65
34503,69
72293,64
63757,76
61251,55
59975,59
93488,59
11480,58
105029,66
85579,68
115736,75
58520,61
75255,61
129269,59
24739,62
59695,59
111720,58
96211,84
109697,61
30264,78
26834,59
32588,72
21208,66
91314,62
102791,68
75921,60
118322,71
52273,68
117892,71
97941,75
90296,63
15176,82
19946,68
103549,67
99704,72
101280,69
18600,70
65461,73
128071,61
33453,71
21567,66
119846,69
30565,76
109033,62
84917,69
21131,67
2144,72
21451,66
47957,74
20948,67
94422,57
97244,76
86178,67
102485,68
69271,68
51809,68
8551,62
95266,54
82684,71
94359,57
21362,66
81759,73
69981,67
130003,57
30758,76
89246,64
110334,60
45889,82
94722,56
46980,76
80367,76
49063,72
79930,77
47484,75
108268,63
28329,55
59952,59
58736,61
27104,58
108720,62
80026,77
27595,57
72748,64
4564,67
17607,72
113173,54
41025,62
8886,62
86694,67
71499,65
52190,68
112571,56
7369,64
111235,59
55249,65
7082,64
94701,56
56112,64
36029,68
86474,67
103140,67
7208,64
67925,69
14440,51
80315,76
31720,74
86386,67
93471,59
25143,62
39339,64
66495,71
51453,69
13440,55
110556,60
128037,61
75201,61
46307,78
91325,62
111503,58
14947,46
97749,75
45706,84
11174,59
21445,66
65268,73
18893,70
17812,71
84402,69
74399,62
26877,59
114984,77
34404,70
9429,61
69168,68
402,78
17346,72
27792,56
40568,63
6929,64
131744,52
25367,61
78791,50
8880,62
77204,57
19896,68
32539,72
94329,57
19658,68
60839,56
45771,83
89854,64
21096,67
97055,77
9262,61
15059,84
76648,58
54951,65
50471,70
119186,69
29101,51
128535,60
122520,66
102536,68
80497,75
78562,52
103854,67
74183,62
39690,64
6362,65
84987,69
102772,68
78147,54
30188,78
52448,68
71689,65
108224,63
77250,57
42434,60
65040,73
17496,72
87921,66
124319,65
11937,58
92343,61
105592,65
15418,79
5268,66
64748,74
46734,77
101949,69
38443,65
107254,64
31174,75
69918,67
48729,72
120975,68
118143,71
92055,61
19014,69
10066,60
59939,59
117445,72
112870,55
85019,69
115349,76
40814,62
34113,70
6492,65
23501,64
6715,64
84496,69
83902,70
39833,64
67200,70
11935,58
97795,75
32465,72
43034,59
18707,70
72773,64
81931,73
38171,65
118113,71
17161,73
33808,70
87407,66
71072,66
7704,63
72529,64
83169,71
68775,68
29283,49
10272,60
51138,69
116678,73
5938,65
12944,56
69093,68
96371,82
11966,58
668,76
18983,69
48258,73
100023,71
24815,62
44307,55
4118,68
35231,69
66261,71
85350,68
100139,71
58887,61
30142,78
39435,64
117496,72
101322,69
9305,61
108642,62
100890,70
74293,62
104254,66
77152,57
32038,73
37218,66
22807,65
127467,62
82902,71
119285,69
32013,73
43121,58
50713,70
105412,65
101519,69
8929,62
41917,61
105600,65
51800,68
58794,61
120551,68
9840,61
59089,60
51832,68
110576,60
48133,73
3304,69
83052,71
110822,59
72021,65
119901,69
80847,75
92503,61
35203,69
106046,65
70056,67
107314,63
46851,76
70849,66
32180,73
44508,55
128243,60
2900,70
228,80
69350,68
92125,61
27314,58
80131,76
131509,53
21168,66
116850,73
28009,56
65530,72
14309,52
25504,61
60712,57
70694,66
126997,62
101354,69
76137,59
48969,72
94727,56
34900,69
95635,52
54254,66
76532,59
52996,67
41335,62
111089,59
118674,70
88136,65
40203,63
47254,75
18770,70
76858,58
25224,62
98582,73
75589,60
18115,71
69039,68
129127,59
80100,76
91301,62
17575,72
89670,64
48054,73
56878,63
19745,68
46413,78
954,75
7229,64
71774,65
22528,65
12299,57
28359,55
16216,75
93959,58
91443,62
111253,59
28034,56
31254,75
38804,65
57864,62
46245,79
86848,67
59136,60
86908,67
13744,54
20241,68
34577,69
127326,62
21588,66
50409,70
16269,75
109004,62
106726,64
95405,53
29764,80
27013,58
120450,68
38967,65
68326,69
64746,74
98723,73
28067,56
9866,61
102708,68
30102,78
65025,73
69246,68
124471,64
25662,61
32555,72
51638,68
125316,64
53020,67
77067,57
129238,59
120404,68
20205,68
67728,69
46102,80
1562,73
22790,65
48935,72
84524,69
76729,58
6835,64
46801,76
82159,72
49491,71
49619,71
85307,68
63124,78
80954,74
8935,62
94343,57
71125,66
14865,48
89217,64
108559,62
7859,63
59032,60
87985,66
98324,74
54919,65
64507,74
121839,67
107967,63
12131,57
69678,67
94655,56
131562,53
89394,64
89320,64
71108,66
85221,68
29621,82
58395,61
90622,63
39977,63
121301,67
53370,67
35513,68
30726,76
95484,53
119902,69
41520,61
11336,59
49627,71
24745,62
18966,69
38217,65
17511,72
8606,62
115960,74
17656,72
97727,75
9424,61
130014,57
21284,66
100355,71
69857,67
14332,51
87785,66
80238,76
90453,63
10375,60
18358,70
48542,73
21882,66
130243,57
74600,62
103212,67
28039,56
88018,66
95817,51
87677,66
65348,73
24133,63
74418,62
26646,59
71198,66
85129,68
124273,65
73971,63
21395,66
58326,61
68948,68
24243,63
115854,75
76959,58
67236,70
98353,74
9353,61
5016,66
89314,64
95122,55
33885,70
89605,64
125168,64
109532,61
87874,66
7676,63
131245,54
74596,62
60106,58
36948,67
89319,64
52447,68
1303,74
92860,60
29007,52
101240,69
97827,75
41381,61
25176,62
28839,53
98619,73
82885,71
131745,52
26643,59
40507,63
109972,60
89206,64
14142,52
6422,65
40271,63
16202,75
111593,58
12098,57
32158,73
36347,67
80431,75
34485,69
71979,65
10141,60
21743,66
91690,62
101061,70
75473,61
109696,61
18106,71
59349,60
29915,79
17359,72
129831,58
30038,79
13445,54
77665,55
111133,59
64139,75
32183,73
95600,53
106467,64
25778,61
75898,60
80561,75
91889,62
130284,57
67119,70
56814,63
106119,65
110989,59
70157,67
128375,60
69452,67
109159,62
111070,59
44291,55
96596,79
115718,75
47117,75
28579,54
44189,56
49068,72
81213,74
42462,60
17301,73
31347,74
76883,58
73179,64
33222,71
38585,65
59990,59
15921,76
49457,71
65695,72
43326,58
96110,91
73090,64
20829,67
111404,58
27191,58
85760,68
99908,71
32045,73
120097,68
53447,67
17209,73
124523,64
91254,62
56481,64
121237,67
3267,69
83949,70
15691,77
116808,73
47489,75
105086,66
61377,55
23718,64
116567,73
96644,79
5314,66
32560,72
104898,66
97990,75
104305,66
8375,63
86536,67
79350,80
121593,67
81031,74
124440,64
43709,57
78779,50
30592,76
116376,73
45739,84
62860,80
23687,64
131734,52
75990,60
103023,67
10368,60
59503,60
46913,76
29395,44
96151,87
80109,76
127187,62
29583,83
54760,65
78648,51
75667,60
18211,71
13051,56
9786,61
107111,64
121138,67
108581,62
62778,81
42335,60
18858,70
107958,63
35438,68
77753,55
18534,70
114942,77
104395,66
110456,60
111196,59
48808,72
113228,53
45449,50
125184,64
108759,62
75613,60
94968,55
126334,63
100168,71
120627,68
71804,65
74113,62
72712,64
14582,50
117870,71
94547,57
96690,79
101356,69
91846,62
120528,68
119190,69
126726,62
123025,66
20358,68
67875,69
30728,76
37321,66
77326,57
87928,66
68753,68
41906,61
25399,61
54896,65
89404,64
37180,66
100534,70
18157,71
19736,68
127385,62
59388,60
31107,75
64367,74
123561,65
76264,59
16114,76
40179,63
75397,61
88017,66
7805,63
45238,51
117371,72
48995,72
114937,77
80943,74
90274,63
35545,68
59901,59
